Artist,Spotify ID
 Ace Persona,4f06tvRb3HaDFCTshjxamN
 AliefBiggie,1WkWfhdsdSqVYTXLnTRJNg
 Amber Smoke,2JrntJAExmduLdRUGmxLBA
 beyonce,6vWDO969PvNqNYHIOW5v0m
 Chucky Trill,2mdDdKL0UzOqSqppraF43n
 Derek Dominique,6EKE3YDBniGuJLSlwptutW
 DevinTheDude,0OMJR0LjjKv21qNvICTgbi
 Dice Soho,4gIRkExQ9L5kAPKiqYJk4R
 DJ Chose,28Jt29jw6Smc3ZkzALTouq
 Don Toliver,4Gso3d4CscCijv0lmajZWs
 DoughboySauce,6Z7yFbo2caRvZFnoVKrCZ8
 Enzo McFly,3rhAUV4fOQiakuXW1GGBDD
 Ghost11:11,2ZkoBBn7yHdql3L1CX1UFp
 Killa Kyleon,0uzlfGNw35ha8bszBDhKy7
 KirkoBangz,2r8r62VGJKGi463aH1HJUZ
 Lecrea,1CFCsEqKrCyvAFKOATQHiW
 LeToya Luckett,1EyK0glCKdNVaKjVxFOHCD
 Lilâ€™ Keke,1grI9x4Uzos1Asx8JmRW6T
 MeganTheeStallion,181bsRPaVXVlUKXrxwZfHK
 MrWiredUpOHBOY,5jggB0cLkzg7geFSba2sMb
 OMB Bloodbath,791JV2CttYVOeGa9F6Kdu3
 Sauce Walka,42yf4QkiE9a252krn9OUCb
 slim thug,0st5vgzw9XkH5ALJiUM1lE
 solangeknowles,2auiVi8sUZo17dLy1HwrTU
 tobenwigwe,3Qh89pgJeZq6d8uM1bTot3
 TraeThaTruth,49vCIUW46QY3L5vo1xVFoy
 travis scott,0Y5tJX1MQlPlqiwlOH1tJY
 Trill Sammy,1zmXauHDyzsa0NJ00nbgCS
 Trill Yung Lo,7B9PvhplLyQs6fC7phsYyI
 Trilly Polk,1n7St6qVOXBuqkf9vUNJjG
 yolanda adams,47opbYEKDjXnRk9uLscp11
 Yung Al,0G3nTosuylhmKDLiuOSikx
 Z-ro,6MrdwyCIKbpXmTKQBlG3uq
30 Wayz,5UbGujP2vyc8Tw5RuujeRt
Big Tony,2sCagRqrsOocsRmcxSuYks
Cal Wayne,6d08KKNyiIxX4h1aVIGNSJ
Jackboy Dee,4F39UfxUHWixdsNjAjMOU0
Laray Da Savage,4WfNX2LlcuKMJt7af2KoKr
Lil Chad,54cVif3Q6z7yUeljusCZXc
Lil Jairmy,2MqvNhgPzUzBXERkh00GDY
Maxo Kream,6xS5PpBWaVYraexEkEjjXv
OTB Fastlane,130sangK9RkAwRToKn9GHj
Robyn The Bank,72ikur4gC8lH9yIsF5Idx2
Sauce Gohan,05tdr8wxoalGhDOMx38FhL
Sauce Twinz,4goI8gUcf64oWgJa9IlbJk
SkeetTaste,6HBMoNZAXlN5AHgwscsnLG
Susan Carol,7lkBIPB2g6tiQos6UF9plP
YB Puertorico,35magIA6t9JpNwT0sPEBgM